t,y,vx,vy
0.01895304963898917,0.1088723,0.02422227977333333,-1.9293105399999997
0.01985557581227437,0.1071192,0.01929198632,-1.9410394586666664
0.020758101985559566,0.1053686,0.011199364839999998,-1.9439594079999998
0.021660628158844765,0.1036103,0.03171654801333333,-1.9542176413333332
0.022563154332129964,0.1018411,0.030257009159999997,-1.9660337226666666
0.023465680505415164,0.1000615,0.016741019453333332,-1.968898272
0.024368206678700363,0.09828718,0.030153525653333332,-1.9702961986666665
0.02527073285198556,0.096505,0.01991415048,-1.983924229333333
0.026173259025270755,0.0947061,0.011329813373333334,-1.9997656746666663
0.027075785198555954,0.09289532,0.029015687213333332,-2.0088885773333334
0.02797830324909747,0.09107995,0.028594817106666667,-2.0182005786666664
0.02888084837545126,0.08925236,0.03278728597333333,-2.0206869306666664
0.029783366425992778,0.0874325,0.022377046119999997,-2.0310201386666664
0.030685884476534295,0.08558627,0.010302741693333332,-2.0368626226666664
0.03158842960288809,0.08375586,0.038566451466666665,-2.0413500226666663
0.0324909476534296,0.08190152,0.036430205306666665,-2.060374752
0.03339346570397112,0.08003677,0.025901427919999997,-2.0665079013333334
0.034295983754512635,0.07817137,0.017270709933333333,-2.076783493333333
0.03519852888086642,0.07628807,0.01661353297333333,-2.09538866
0.03610104693140794,0.07438908,0.03146889893333333,-2.1006671719999996
0.03700356498194946,0.07249626,0.039692438,-2.1022822666666663
0.03790611010830325,0.07059435,0.026265191706666663,-2.1076564359999996
0.03880862815884477,0.06869183,0.02717862321333333,-2.1181085693333332
0.03971114620938628,0.06677105,0.03626773557333333,-2.1279191706666665
0.040613691335740075,0.06485082,0.03560096702666666,-2.1272222386666666
0.04151620938628159,0.06293131,0.028657803213333333,-2.1432952559999996
0.0424187274368231,0.06098206,0.013781488666666666,-2.1580305479999997
0.04332124548736462,0.05903595,0.02553453957333333,-2.158122512
0.04422379061371841,0.05708654,0.03599164044,-2.1657581093333333
0.04512630866425993,0.05512664,0.03848796813333333,-2.1745685559999997
0.04602882671480144,0.05316133,0.031650736506666666,-2.1792668453333333
0.046931371841155235,0.05119295,0.021738417079999996,-2.1950373786666666
0.04783388989169675,0.04919917,0.028958185706666664,-2.1987392066666667
0.04873640794223827,0.04722411,0.03675069799999999,-2.1906430506666665
0.049638953068592055,0.04524494,0.0400206276,-1.7719409306666665
0.050541471119133576,0.04402567,0.25326604906666667,-0.4100157693333333
0.05144398916967509,0.04450484,0.4997726333333333,0.6881769533333332
0.0523465072202166,0.04526786,0.5425347853333333,0.8267194266666666
0.0532490523465704,0.04599712,0.5409329866666666,0.8166406893333332
0.05415157039711191,0.04674194,0.5349209786666667,0.8272933706666665
0.05505408844765343,0.04749042,0.5378036253333333,0.8182576306666666
0.055956633574007215,0.04821894,0.5520281293333333,0.7940600186666665
0.05685915162454873,0.04892374,0.5525802826666666,0.7848303786666665
0.057761669675090256,0.0496356,0.5443821906666666,0.7826572213333333
0.05866418772563177,0.05033648,0.5396484453333333,0.774928552
0.059566732851985556,0.05103439,0.5372400226666666,0.7687632706666666
0.06046925090252708,0.05172414,0.5337948813333333,0.7578265719999999
0.06137176895306859,0.0524023,0.533057692,0.7557904373333333
0.06227431407942238,0.05308838,0.5312583,0.7511427466666666
0.06317683212996389,0.05375815,0.5258682493333333,0.7324297346666666
0.06407935018050542,0.05441045,0.5278131586666667,0.728195328
0.0649818953068592,0.05507259,0.5274678319999999,0.7268893653333333
0.06588441335740072,0.05572253,0.5253242213333332,0.7126286666666666
0.06678693140794224,0.05635892,0.5279911773333332,0.696423428
0.06768947653429604,0.05697961,0.5476330626666666,0.684219916
0.06859199458483754,0.05759397,0.5505319599999999,0.67319864
0.06949451263537905,0.05819477,0.5367990386666667,0.6756092786666666
0.07039703068592058,0.05881348,0.5364433706666666,0.6790414933333332
0.07129957581227436,0.05942047,0.535968408,0.6637522013333332
0.07220209386281588,0.06001159,0.5303600813333332,0.654537704
0.0731046119133574,0.06060195,0.5299157733333333,0.6477150093333333
0.0740071570397112,0.06118075,0.5302622079999999,0.635209752
0.0749096750902527,0.06174853,0.5279217426666666,0.6225157653333333
0.07581219314079422,0.06230442,0.5297451413333333,0.6075891586666665
0.076714738267148,0.06284526,0.527606332,0.6015723493333333
0.07761725631768954,0.06339029,0.5257341813333333,0.5903143306666666
0.07851977436823104,0.06391081,0.5254453626666666,0.5826358906666665
0.07942229241877256,0.06444198,0.5265607493333333,0.5753005613333333
0.08032483754512636,0.06494926,0.5233076613333333,0.570840492
0.08122735559566786,0.06547238,0.5230387866666666,0.5628392546666666
0.08212987364620938,0.06596521,0.52722518,0.5427840853333333
0.08303241877256318,0.06645213,0.525320528,0.5287508959999999
0.0839349368231047,0.06691964,0.524751016,0.5228386079999999
0.0848374548736462,0.06739588,0.5254010426666665,0.5232326866666666
0.08574,0.0678641,0.5265518853333333,0.5139675906666666
0.08664251805054152,0.06832362,0.5287704706666666,0.5082296279999999
0.08754503610108304,0.06878148,0.5217653253333333,0.5028805733333332
0.08844755415162454,0.06923134,0.5221124986666666,0.49208274399999996
0.08935009927797834,0.06966972,0.5289008453333333,0.47381773333333327
0.09025261732851986,0.07008661,0.524544928,0.46586118533333326
0.09115513537906136,0.07051062,0.5226044506666666,0.4568834306666666
0.09205768050541516,0.07091131,0.5244655213333334,0.448087388
0.09296019855595668,0.07131944,0.522059684,0.44168093199999997
0.0938627166064982,0.07170857,0.5224999293333332,0.43904093733333327
0.09476526173285199,0.07211193,0.5230868,0.426442608
0.0956677797833935,0.07247832,0.523144416,0.41390447999999996
