t,x,y,vx,vy,ω
0.9666657,0.0001748627,0.1157591,,,
0.999999,0.0001120007,0.1132403,-0.0009928511,-0.07594094,0.4545174
1.033332,0.0001086727,0.1106964,0.0003670769,-0.07652876,-0.2345947
1.066666,0.0001364725,0.1081384,0.000987494,-0.07681795,-0.5768401
1.099999,0.0001745056,0.1055752,0.001726181,-0.07629551,-1.013268
1.133332,0.0002515511,0.1030521,0.002815526,-0.07679858,-1.678256
1.166666,0.0003622072,0.1004553,0.003795206,-0.07735528,-2.331729
1.199999,0.0005045646,0.09789505,0.0004931847,-0.07770933,-0.4650827
1.233332,0.0003950861,0.0952747,-0.003069384,-0.07970827,1.645274
1.266665,0.0002999392,0.09258117,0.001566373,-0.07923123,-1.20642
1.299999,0.0004995109,0.08999262,0.002697216,-0.07885079,-1.937285
1.333332,0.0004797534,0.08732445,-0.0002059507,-0.0802753,-0.1622026
1.366665,0.0004857809,0.08464094,0.000685632,-0.07985846,-0.7855952
1.399999,0.0005254622,0.08200056,0.002328049,-0.0805311,-2.016613
1.433332,0.000640984,0.0792722,0.003082621,-0.08090744,-2.693149
1.466665,0.00073097,0.07660674,0.003350153,-0.08021925,-3.099001
1.499999,0.0008643273,0.07392426,0.0007611239,-0.08180317,-1.241298
1.533332,0.0007817116,0.0711532,-0.00226674,-0.08422151,1.075182
1.566665,0.0007132114,0.0683095,-0.001801863,-0.08447113,0.7640444
1.599998,0.0006615875,0.0655218,0.0029803,-0.08296407,-3.510029
1.633332,0.0009118979,0.06277857,0.003565864,-0.08322439,-4.208797
1.666665,0.0008993115,0.05997351,0.000767251,-0.08380139,-1.987636
1.699998,0.0009630479,0.05719181,0.002221865,-0.0836189,-3.659755
1.733332,0.001047436,0.05439892,0.002412634,-0.08466712,-4.264778
1.766665,0.00112389,0.05154734,0.002845922,-0.08488521,-5.264212
1.799998,0.001237164,0.04873991,0.0001619712,-0.08642372,-2.559292
1.833332,0.001134688,0.04578577,-0.002700149,-0.08791534,0.6257583
1.866665,0.001057154,0.0428789,0.001929227,-0.08646788,-5.825142
1.899998,0.001263303,0.04002125,0.002529816,-0.08680409,-7.207562
1.933331,0.001225808,0.03709196,-0.001079713,-0.0878871,-2.838859
1.966665,0.001191322,0.03416211,-0.0001145847,-0.08837582,-5.146283
1.999998,0.001218169,0.03120025,0.001038988,-0.08896968,-8.392228
2.033331,0.001260588,0.02823081,0.001856595,-0.08844239,-11.99708
2.066665,0.001341942,0.02530409,0.00290198,-0.08796859,-17.44352
2.099998,0.001454053,0.02236624,-8.842742e-05,-0.09026754,-13.90661
2.133331,0.001336047,0.01928626,0.000519772,-0.09069354,-22.38673
2.166664,0.001488705,0.01632001,0.003890501,-0.08460277,-40.5837
2.199998,0.001595413,0.01364609,0.01191217,-0.01803078,-50.62289
2.233331,0.002282849,0.01511796,0.02949757,0.05975481,-71.30865
2.266664,0.003561916,0.01762974,0.03509509,0.07397117,-65.9421
2.299998,0.004622519,0.02004937,0.0321125,0.07241968,-42.38751
2.333331,0.005702747,0.02245771,0.03322188,0.07271448,-35.59728
2.366664,0.006837309,0.02489699,0.02913424,0.07076508,-21.96503
2.399998,0.007645028,0.02717538,0.02432864,0.0684631,-9.962839
2.433331,0.008459217,0.0294612,0.0248278,0.06835005,-9.339924
2.466664,0.009300213,0.03173204,0.03103284,0.06986135,-16.92589
2.499998,0.01052807,0.03411861,0.03237055,0.07007075,-17.05003
2.533331,0.01145825,0.03640342,0.02845057,0.06844245,-9.879305
2.566664,0.01242477,0.03868144,0.02804368,0.06849463,-8.225941
2.599997,0.01332782,0.04096972,0.02978145,0.0683805,-9.356199
2.633331,0.0144102,0.04324014,0.03118014,0.06824996,-10.1791
2.666664,0.0154065,0.04551972,0.0326725,0.06803432,-10.74766
2.699997,0.01658837,0.04777575,0.0284543,0.06675244,-6.0156
2.733331,0.01730345,0.04996988,0.04822,0.06849009,-23.64023
2.766664,0.01980303,0.05234175,0.05191147,0.068287,-26.23413
2.799997,0.02076421,0.05452234,0.02952051,0.06503325,-4.338805
2.833331,0.02177106,0.0566773,0.03066763,0.06442995,-5.203112
2.866664,0.02280872,0.05881766,0.03126904,0.06440205,-5.335163
2.899997,0.02385566,0.06097077,0.03196188,0.06410514,-5.592873
2.93333,0.02493951,0.06309134,0.03224621,0.06333167,-5.676297
2.966664,0.02600541,0.06519287,0.02991464,0.06298274,-3.689034
2.999997,0.02693381,0.06729018,0.03016145,0.0625986,-3.692678
3.03333,0.02801617,0.06936611,0.03017611,0.06207976,-3.677189
3.066664,0.02894555,0.07142883,0.02910611,0.06139724,-2.885244
3.099997,0.02995657,0.07345925,0.03107855,0.0611332,-4.101745
3.13333,0.03101745,0.07550437,0.03095853,0.06131217,-3.766075
3.166664,0.03202047,0.07754673,0.03042863,0.06077915,-3.359253
3.199997,0.03304603,0.07955631,0.0302893,0.06040186,-3.204368
3.23333,0.03403976,0.08157351,0.0304577,0.05974701,-3.29376
3.266663,0.03507654,0.08353944,0.02934711,0.05911608,-2.666356
3.299997,0.03599623,0.08551458,0.02949369,0.05860858,-2.717429
3.33333,0.03704278,0.08744667,0.03019302,0.05831658,-3.068809
3.366663,0.0380091,0.08940235,0.03005087,0.05837095,-2.828015
3.399997,0.03904617,0.09133807,0.03012133,0.05792936,-2.853864
3.43333,0.04001718,0.0932643,0.029505,0.05698216,-2.616709
3.466663,0.04101317,0.09513687,0.03043753,0.05643713,-3.098058
3.499997,0.04204635,0.09702678,0.03051454,0.05629943,-3.046089
3.53333,0.04304747,0.09889017,0.03011129,0.05571028,-2.854157
3.566663,0.04405377,0.1007408,0.02979652,0.05563169,-2.616093
3.599996,0.0450339,0.1025989,0.02969062,0.0551777,-2.558421
3.63333,0.04603314,0.1044193,0.03009658,0.05432789,-2.822752
3.666663,0.04704034,0.1062208,0.03002528,0.0543049,-2.698162
3.699996,0.04803482,0.1080396,0.03009033,0.05410256,-2.670255
3.73333,0.04904636,0.1098276,0.03012921,0.05327233,-2.758657
