t,x,y,vx,vy,ω
6.433327,0.06598157,0.1233798,0.05030311,0.05463266,-7.621338
6.46666,0.06763365,0.1251894,0.04633172,0.05350276,-6.194752
6.499994,0.06907035,0.1269467,-0.09326731,-0.00380797,33.0352
6.533327,0.06141583,0.1249356,-0.09148163,0.0007214789,32.62789
6.56666,0.06297158,0.1269948,0.04613965,0.06154487,-5.662228
6.599993,0.06449181,0.1290386,0.04754816,0.06164271,-5.936402
6.633327,0.06614145,0.1311043,0.04880258,0.05990614,-6.475549
6.66666,0.06774531,0.1330323,0.04569962,0.05418019,-6.203673
6.699993,0.06918809,0.1347163,-0.07594282,-0.02912683,21.47484
6.733327,0.06268246,0.1310905,-0.07684519,-0.02136293,22.70465
6.76666,0.06406508,0.1332921,0.04311324,0.06821159,-3.601734
6.799993,0.06555667,0.1356379,0.04538846,0.06619738,-4.575336
6.833327,0.06709098,0.1377053,,,
