t,x,y,vx,vy,ω
0.7666659,0.009092862,0.1220542,,,
0.7999992,0.009136955,0.119576,0.0009871734,-0.07438603,-3.176096
0.8333325,0.009158674,0.1170951,0.0005564051,-0.07447041,-3.103856
0.8666658,0.009174048,0.1146113,0.001058048,-0.07553438,-3.538894
0.8999991,0.00922921,0.1120595,0.001391628,-0.07660424,-3.909946
0.9333324,0.009266823,0.1095044,0.0009795467,-0.07652717,-3.87329
0.9666657,0.009294513,0.1069577,0.001398498,-0.07699013,-4.311594
0.999999,0.009360057,0.1043717,0.001652468,-0.07764073,-4.690532
1.033332,0.009404678,0.1017817,0.0009049706,-0.07776582,-4.51285
1.066666,0.009420388,0.0991873,0.0006610184,-0.0779587,-4.623503
1.099999,0.009448746,0.09658441,0.001185154,-0.0785551,-5.222552
1.133332,0.009499398,0.0939503,0.001238428,-0.07952133,-5.602977
1.166666,0.009531307,0.091283,0.001131549,-0.079849,-5.886569
1.199999,0.009574835,0.08862704,0.00148706,-0.07975669,-6.465786
1.233332,0.009630445,0.08596589,0.001390077,-0.08012134,-6.825338
1.266665,0.009667506,0.08328562,0.001018356,-0.08035601,-7.027464
1.299999,0.009698335,0.08060883,0.001162151,-0.08095526,-7.656047
1.333332,0.009744983,0.07788861,0.001448222,-0.08223588,-8.516431
1.366665,0.009794883,0.07512644,0.001067735,-0.08264173,-8.879182
1.399999,0.009816165,0.07237917,0.0007917841,-0.08262791,-9.345064
1.433332,0.009847668,0.06961792,0.001236666,-0.08303367,-10.50121
1.466665,0.009898609,0.0668436,0.001260075,-0.08374646,-11.47452
1.499999,0.009931673,0.06403483,,,
1.566665,0.01001409,0.0584032,,,
1.599998,0.01005496,0.05554855,0.0009919391,-0.08556962,-16.48773
1.633332,0.01008022,0.05269856,0.0004916745,-0.08548298,-17.69894
1.666665,0.01008774,0.04984969,0.0003648536,-0.0860014,-19.69969
1.699998,0.01010454,0.04696514,0.001100494,-0.08661726,-23.13138
1.733332,0.0101611,0.04407522,0.001356218,-0.08733515,-26.6274
1.766665,0.01019495,0.04114281,0.000769654,-0.08832301,-29.85263
1.799998,0.01021241,0.03818702,0.0004704693,-0.08874109,-34.06155
1.833332,0.01022632,0.03522674,0.000323545,-0.08854038,-39.24076
1.866665,0.01023398,0.03228433,0.001147104,-0.0889209,-47.79094
1.899998,0.01030279,0.02929868,0.001650084,-0.08958397,-58.09146
1.933331,0.01034399,0.02631208,0.001195068,-0.08838958,-68.20603
1.966665,0.01038246,0.02340605,0.01795429,-0.05894475,-87.23455
1.999998,0.01154094,0.02238243,0.0488525,0.03185866,-62.88124
2.033331,0.01363929,0.02552996,0.04721299,0.08918008,-1.962183
2.066665,0.01468847,0.02832776,0.03672121,0.07868831,7.738703
2.099998,0.01608737,0.03077584,0.03672121,0.07344242,1.850524
2.133331,0.01713655,0.03322392,0.0419671,0.0839342,2.363521
2.166664,0.01888518,0.03637145,0.03672121,0.05770476,-8.450573
