t,x,y,vx,vy,ω
6.033327,0.05211586,0.1075232,0.005485885,0.04937297,8.064232
6.066661,0.05248158,0.1086204,0.02742943,0.04937297,-1.463608
6.099994,0.05394448,0.1108148,0.02194354,0.05485885,1.889539
6.133327,0.05394448,0.1122777,0.02742943,0.04388708,-2.466537
6.166661,0.05577311,0.1137406,0.03291531,0.05485885,-2.629309
6.199994,0.05613884,0.1159349,0.01645766,0.05485885,4.118209
6.233327,0.05687029,0.1173978,0.01645766,0.06034474,4.951831
6.26666,0.05723601,0.1199579,0.02742943,0.04937297,-1.349357
6.299994,0.05869891,0.1206894,0.02742943,0.0384012,-3.46241
6.333327,0.05906464,0.122518,0.03291531,0.06583062,-0.3324871
6.36666,0.06089327,0.1250781,0.0384012,0.05485885,-4.393822
6.399994,0.06162472,0.1261752,0.02194354,0.05485885,1.715727
6.433327,0.06235617,0.1287353,0.02194354,0.06034474,2.679257
6.46666,0.06308762,0.1301982,0.01645766,0.04388708,1.69356
6.499994,0.06345334,0.1316611,0.01645766,0.04388708,1.677392
6.533327,0.06418479,0.133124,0.02742943,0.06034474,0.5667605
6.56666,0.06528197,0.1356841,0.03291531,0.06034474,-1.294108
6.599993,0.06637915,0.137147,0.03291531,0.04937297,-3.061407
6.633327,0.06747632,0.1389756,0.02742943,0.04388708,-2.048412
6.66666,0.06820777,0.1400728,0.02194354,0.05485885,1.526503
6.699993,0.06893922,0.1426329,0.01097177,0.04937297,4.23242
6.733327,0.06893922,0.1433643,0.02194354,0.04937297,0.6113366
6.76666,0.07040212,0.1459244,0.02742943,0.05485885,-0.3321562
6.799993,0.07076785,0.1470216,,,
